chunk,chunk,chunk,chunk,chunk,chunk,chunk,atemp,atemp,atemp,atemp,day,day,day,day,holiday,holiday,holiday,holiday,hour,hour,hour,hour,humidity,humidity,humidity,humidity,month,month,month,month,season,season,season,season,temp,temp,temp,temp,weather,weather,weather,weather,weekday,weekday,weekday,weekday,windspeed,windspeed,windspeed,windspeed,workingday,workingday,workingday,workingday
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[0:380],0,0,380,,,reference,0.6727929490125691,0.7294776976334216,,False,0.23645877035412272,0.30505818504144144,,False,0.004334036105721014,0.1923291225761976,,False,0.020948364112923605,0.04051965465693493,,False,0.2819707381097893,0.415166081486705,,False,0.8579722441014443,0.9022295103154622,,False,0.6673765949440884,0.8875821522438991,,False,0.6743291760906701,0.7197635059545893,,False,0.07234298865692845,0.25419967965591134,,False,0.09107931664205973,0.18609290591878572,,False,0.0833985038367261,0.25585739993213535,,False,0.0812336217856412,0.13573801248505546,,False
[381:761],1,381,761,,,reference,0.6233224514775738,0.7294776976334216,,False,0.2019812249967052,0.30505818504144144,,False,0.03418701467930115,0.1923291225761976,,False,0.037898673313063125,0.04051965465693493,,False,0.15102549970445167,0.415166081486705,,False,0.7868690219823952,0.9022295103154622,,False,0.6673765949440884,0.8875821522438991,,False,0.6211057971038269,0.7197635059545893,,False,0.059175868313433674,0.25419967965591134,,False,0.07575338762869009,0.18609290591878572,,False,0.16556487097765477,0.25585739993213535,,False,0.017544151882965778,0.13573801248505546,,False
[762:1142],2,762,1142,,,reference,0.5153365774970345,0.7294776976334216,,False,0.24361444351756154,0.30505818504144144,,False,0.11275806702873989,0.1923291225761976,,False,0.00661932250905196,0.04051965465693493,,False,0.2892641359269524,0.415166081486705,,False,0.7609452492859854,0.9022295103154622,,False,0.6673765949440884,0.8875821522438991,,False,0.5325933740851211,0.7197635059545893,,False,0.010275221393798013,0.25419967965591134,,False,0.16989662860608065,0.18609290591878572,,False,0.20061135413439918,0.25585739993213535,,False,0.10035718472188945,0.13573801248505546,,False
[1143:1523],3,1143,1523,,,reference,0.5337069338794815,0.7294776976334216,,False,0.24107122311370993,0.30505818504144144,,False,0.11275806702873989,0.1923291225761976,,False,0.009877978661444554,0.04051965465693493,,False,0.1581610950510797,0.415166081486705,,False,0.7515610608163628,0.9022295103154622,,False,0.406898747213685,0.8875821522438991,,False,0.5343861165430768,0.7197635059545893,,False,0.023404962286654403,0.25419967965591134,,False,0.07988093137446538,0.18609290591878572,,False,0.16200614009895833,0.25585739993213535,,False,0.009137116661840373,0.13573801248505546,,False
[1524:1904],4,1524,1904,,,reference,0.54833937372128,0.7294776976334216,,False,0.26590062105687295,0.30505818504144144,,False,0.07940489436167397,0.1923291225761976,,False,0.011134738693689115,0.04051965465693493,,False,0.22744760143070922,0.415166081486705,,False,0.7548117839453933,0.9022295103154622,,False,0.658937407672808,0.8875821522438991,,False,0.5677075206265584,0.7197635059545893,,False,0.1396039798122077,0.25419967965591134,,False,0.1345004189940844,0.18609290591878572,,False,0.11883555402609948,0.25585739993213535,,False,0.042175014430242026,0.13573801248505546,,False
[1905:2285],5,1905,2285,,,reference,0.5525687676536467,0.7294776976334216,,False,0.2749994078466552,0.30505818504144144,,False,0.11275806702873989,0.1923291225761976,,False,0.010414995740942975,0.04051965465693493,,False,0.24486715959144068,0.415166081486705,,False,0.7807975397885422,0.9022295103154622,,False,0.658937407672808,0.8875821522438991,,False,0.5537960112066527,0.7197635059545893,,False,0.035207786965449024,0.25419967965591134,,False,0.08450323991254656,0.18609290591878572,,False,0.13193622323417384,0.25585739993213535,,False,0.052672166198234636,0.13573801248505546,,False
[2286:2666],6,2286,2666,,,reference,0.5316389430837949,0.7294776976334216,,False,0.2531170575695018,0.30505818504144144,,False,0.11275806702873989,0.1923291225761976,,False,0.007708494218201581,0.04051965465693493,,False,0.15378528858598206,0.415166081486705,,False,0.8517128732279047,0.9022295103154622,,False,0.658937407672808,0.8875821522438991,,False,0.5298770593230464,0.7197635059545893,,False,0.12961517880722148,0.25419967965591134,,False,0.06904799128300522,0.18609290591878572,,False,0.15966172208582133,0.25585739993213535,,False,0.009137116661840373,0.13573801248505546,,False
[2667:3047],7,2667,3047,,,reference,0.6118769855206305,0.7294776976334216,,False,0.2401045720570097,0.30505818504144144,,False,0.07940489436167397,0.1923291225761976,,False,0.013475551959634454,0.04051965465693493,,False,0.1844670638038834,0.415166081486705,,False,0.804760248967949,0.9022295103154622,,False,0.6218863616162567,0.8875821522438991,,False,0.6123198511189947,0.7197635059545893,,False,0.13848804101067044,0.25419967965591134,,False,0.07783681251527182,0.18609290591878572,,False,0.18304190054928787,0.25585739993213535,,False,0.06067933107303663,0.13573801248505546,,False
[3048:3428],8,3048,3428,,,reference,0.6326507679240873,0.7294776976334216,,False,0.2643251350614839,0.30505818504144144,,False,0.11275806702873989,0.1923291225761976,,False,0.01414531959789193,0.04051965465693493,,False,0.20439146154235677,0.415166081486705,,False,0.7612641639977472,0.9022295103154622,,False,0.7069949700147177,0.8875821522438991,,False,0.6220662732826263,0.7197635059545893,,False,0.14287337532189825,0.25419967965591134,,False,0.08712072387026332,0.18609290591878572,,False,0.17520351770256365,0.25585739993213535,,False,0.052672166198234636,0.13573801248505546,,False
[3429:3809],9,3429,3809,,,reference,0.541469836466113,0.7294776976334216,,False,0.25029352585166065,0.30505818504144144,,False,0.07940489436167397,0.1923291225761976,,False,0.009640879293890068,0.04051965465693493,,False,0.34965458649346176,0.415166081486705,,False,0.8099947633956799,0.9022295103154622,,False,0.7069949700147177,0.8875821522438991,,False,0.5626543530942125,0.7197635059545893,,False,0.1624857656651594,0.25419967965591134,,False,0.07460253748917618,0.18609290591878572,,False,0.10060089024090925,0.25585739993213535,,False,0.006740309541565607,0.13573801248505546,,False
[0:325],0,0,325,,,analysis,0.524942822045607,0.7294776976334216,,False,0.35578051699086916,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.02062009462165507,0.04051965465693493,,False,0.23954025716035696,0.415166081486705,,False,0.7645121240876024,0.9022295103154622,,False,0.658937407672808,0.8875821522438991,,False,0.5179472642314257,0.7197635059545893,,False,0.23603524855612892,0.25419967965591134,,False,0.1646970166837746,0.18609290591878572,,False,0.14597744753675845,0.25585739993213535,,False,0.054334779436791235,0.13573801248505546,,False
[326:651],1,326,651,,,analysis,0.5394454524972961,0.7294776976334216,,False,0.38398017018328284,0.30505818504144144,,True,0.09686855053341542,0.1923291225761976,,False,0.011505078260439401,0.04051965465693493,,False,0.1969791579359149,0.415166081486705,,False,0.7523457645046184,0.9022295103154622,,False,0.4514800567510975,0.8875821522438991,,False,0.5460141168750433,0.7197635059545893,,False,0.05740037391154344,0.25419967965591134,,False,0.15889831266485063,0.18609290591878572,,False,0.1494990859432955,0.25585739993213535,,False,0.012158488239573556,0.13573801248505546,,False
[652:977],2,652,977,,,analysis,0.6664999347204665,0.7294776976334216,,False,0.3977365809503266,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.020530865701580383,0.04051965465693493,,False,0.21265006521669003,0.415166081486705,,False,0.8517128732279047,0.9022295103154622,,False,0.7069949700147177,0.8875821522438991,,False,0.6663420776577286,0.7197635059545893,,False,0.04558302245780461,0.25419967965591134,,False,0.03257780470347568,0.18609290591878572,,False,0.2989774980963062,0.25585739993213535,,True,0.012158488239573556,0.13573801248505546,,False
[978:1303],3,978,1303,,,analysis,0.6360006557132917,0.7294776976334216,,False,0.3209380143929594,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.020607331929755876,0.04051965465693493,,False,0.276338496235897,0.415166081486705,,False,0.8224555672153389,0.9022295103154622,,False,0.7069949700147177,0.8875821522438991,,False,0.6448315214757022,0.7197635059545893,,False,0.057865357806995914,0.25419967965591134,,False,0.08049629521876515,0.18609290591878572,,False,0.15313313632394748,0.25585739993213535,,False,0.012158488239573556,0.13573801248505546,,False
[1304:1629],4,1304,1629,,,analysis,0.5567493540496716,0.7294776976334216,,False,0.3461077005546472,0.30505818504144144,,True,0.09686855053341542,0.1923291225761976,,False,0.013822839509743716,0.04051965465693493,,False,0.28728850518028515,0.415166081486705,,False,0.8118109439020929,0.9022295103154622,,False,0.7069949700147177,0.8875821522438991,,False,0.6099073345556146,0.7197635059545893,,False,0.01890885478538956,0.25419967965591134,,False,0.10615082698255383,0.18609290591878572,,False,0.16695674305521904,0.25585739993213535,,False,0.10481734298110708,0.13573801248505546,,False
[1630:1955],5,1630,1955,,,analysis,0.6089688225337059,0.7294776976334216,,False,0.37103727038815215,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.02159786716760802,0.04051965465693493,,False,0.18370331319819047,0.415166081486705,,False,0.9232550842905956,0.9022295103154622,,True,0.7315353566064865,0.8875821522438991,,False,0.581967375606675,0.7197635059545893,,False,0.027291285902897793,0.25419967965591134,,False,0.19002696579246534,0.18609290591878572,,True,0.17308059455792713,0.25585739993213535,,False,0.06823572234310099,0.13573801248505546,,False
[1956:2281],6,1956,2281,,,analysis,0.49108230993258256,0.7294776976334216,,False,0.38364424177056666,0.30505818504144144,,True,0.09686855053341542,0.1923291225761976,,False,0.012226603386777621,0.04051965465693493,,False,0.23106618973789336,0.415166081486705,,False,1.0,0.9022295103154622,,True,1.0,0.8875821522438991,,True,0.4972012632088417,0.7197635059545893,,False,0.03430205469912682,0.25419967965591134,,False,0.03210133585969164,0.18609290591878572,,False,0.09632719568761357,0.25585739993213535,,False,0.054334779436791235,0.13573801248505546,,False
[2282:2607],7,2282,2607,,,analysis,0.5671752603628263,0.7294776976334216,,False,0.36382280635525355,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.018471181945277665,0.04051965465693493,,False,0.23494582698203398,0.415166081486705,,False,1.0,0.9022295103154622,,True,1.0,0.8875821522438991,,True,0.5711025803829689,0.7197635059545893,,False,0.09336893768767529,0.25419967965591134,,False,0.16274114463463865,0.18609290591878572,,False,0.11204051793582565,0.25585739993213535,,False,0.04119622669652102,0.13573801248505546,,False
[2608:2933],8,2608,2933,,,analysis,0.559422985377491,0.7294776976334216,,False,0.37247576456946263,0.30505818504144144,,True,0.09686855053341542,0.1923291225761976,,False,0.018235207656830163,0.04051965465693493,,False,0.3077366032936413,0.415166081486705,,False,1.0,0.9022295103154622,,True,1.0,0.8875821522438991,,True,0.606696273852946,0.7197635059545893,,False,0.12586123293303478,0.25419967965591134,,False,0.1528985759973672,0.18609290591878572,,False,0.1452701033462048,0.25585739993213535,,False,0.08108041345863172,0.13573801248505546,,False
[2934:3259],9,2934,3259,,,analysis,0.6509709828898248,0.7294776976334216,,False,0.3980434189735094,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.016095487163982593,0.04051965465693493,,False,0.30902040447188517,0.415166081486705,,False,1.0,0.9022295103154622,,True,1.0,0.8875821522438991,,True,0.6505378591618356,0.7197635059545893,,False,0.20209865502216137,0.25419967965591134,,False,0.024739164791261002,0.18609290591878572,,False,0.20695889008771112,0.25585739993213535,,False,0.012158488239573556,0.13573801248505546,,False
[3260:3265],10,3260,3265,,,analysis,0.8605740928884611,0.7294776976334216,,True,0.8736693937927289,0.30505818504144144,,True,0.11275806702873989,0.1923291225761976,,False,0.7117460736096757,0.04051965465693493,,True,0.7133995184307281,0.415166081486705,,True,1.0,0.9022295103154622,,True,1.0,0.8875821522438991,,True,0.8446739586609427,0.7197635059545893,,True,0.44598471898256686,0.25419967965591134,,True,0.8301268634985612,0.18609290591878572,,True,0.6676190140706619,0.25585739993213535,,True,0.4172341151639532,0.13573801248505546,,True
